Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,15-May-17,510.6,507.35,515,505.9,510.5,509.45,510.39,271952,138800509.8,8261,100362,36.9
MINDTREE,EQ,16-May-17,509.45,507,515.85,506,511,511.3,512.69,207011,106131728.2,5550,82090,39.65
MINDTREE,EQ,17-May-17,511.3,507.05,519.7,502.75,504,506.35,512.1,391401,200437504.6,13341,150098,38.35
MINDTREE,EQ,18-May-17,506.35,502,516.75,486,487.5,492.9,505.6,852336,430937717.1,18513,170919,20.05
MINDTREE,EQ,19-May-17,492.9,491.95,502.95,489.5,495.15,497.5,496.43,352273,174878151.5,8326,57853,16.42
MINDTREE,EQ,22-May-17,497.5,499.95,511.85,497.1,501.55,502.35,504.78,399974,201899898.4,9779,107089,26.77
MINDTREE,EQ,23-May-17,502.35,504,507.45,491,498,501.15,498.72,452893,225866353.7,8567,198703,43.87
MINDTREE,EQ,24-May-17,501.15,502,515,494.05,511.95,509.95,506.72,823967,417521056.9,15083,351179,42.62
MINDTREE,EQ,25-May-17,509.95,513.7,549.5,508.45,542.5,543.9,532.14,1632427,868682873,25072,693340,42.47
MINDTREE,EQ,26-May-17,543.9,540,544,532,533.45,535.2,537.15,461613,247953805.9,12606,113087,24.5
MINDTREE,EQ,29-May-17,535.2,532.5,552.05,521.6,529.15,530.55,535.83,718355,384914121.1,19256,173854,24.2
MINDTREE,EQ,30-May-17,530.55,530.55,540,524,535.6,537.4,535.4,475566,254620399.3,11648,186388,39.19
MINDTREE,EQ,31-May-17,537.4,540,549.8,534.5,546.05,543.95,543.99,617800,336076783.5,18504,234480,37.95
MINDTREE,EQ,01-Jun-17,543.95,545.05,549,535,538,537.4,540.08,504801,272634250.6,18409,182246,36.1
MINDTREE,EQ,02-Jun-17,537.4,537.8,543.8,533.1,539.9,539.9,539.28,312022,168268100.8,6951,139538,44.72
MINDTREE,EQ,05-Jun-17,539.9,540,560,536.3,555.85,557.45,552.59,960839,530948103.9,34305,367704,38.27
MINDTREE,EQ,06-Jun-17,557.45,560,565.9,544.4,546,546.7,557.59,931646,519479225.9,28291,241092,25.88
MINDTREE,EQ,07-Jun-17,546.7,549.5,556.1,513.55,534.9,536.9,534.96,957153,512035924.2,18469,250862,26.21
MINDTREE,EQ,08-Jun-17,536.9,538.5,546.35,528,542.8,543.5,539.33,459527,247838052.8,9138,138735,30.19
MINDTREE,EQ,09-Jun-17,543.5,542,542.75,534.15,537.05,538.75,538.62,229279,123494625.6,7087,87478,38.15
MINDTREE,EQ,12-Jun-17,538.75,536.1,544.55,528.05,539,539.8,538.19,379066,204010845.4,9623,98241,25.92
MINDTREE,EQ,13-Jun-17,539.8,540.9,542.35,530.2,532,531.8,536.98,320855,172291145,12246,97230,30.3
MINDTREE,EQ,14-Jun-17,531.8,531.7,536.75,516.45,523.5,523.3,523.37,671432,351407049.7,9066,317335,47.26
MINDTREE,EQ,15-Jun-17,523.3,521.05,523.75,515.05,515.65,517.85,520.28,210643,109592788.9,5216,66819,31.72
MINDTREE,EQ,16-Jun-17,517.85,518.05,525.45,511.15,514.9,514.95,518.36,385256,199702494.7,6706,116377,30.21
MINDTREE,EQ,19-Jun-17,514.95,518.7,520.45,511.6,515.2,515.9,516.15,188878,97488450.9,4159,31231,16.54
MINDTREE,EQ,20-Jun-17,515.9,516,525,516,519.05,519.75,520.97,442425,230490111.3,11450,226523,51.2
MINDTREE,EQ,21-Jun-17,519.75,517.85,524,515.05,519.9,519.6,520.65,414457,215787296.9,14034,188443,45.47
MINDTREE,EQ,22-Jun-17,519.6,520,530.85,518.25,521.05,521,525.4,403163,211820055.2,7914,95596,23.71
MINDTREE,EQ,23-Jun-17,521,531.95,537.5,525,532,532,531.87,1238632,658793281.9,22835,220177,17.78
MINDTREE,EQ,27-Jun-17,532,537,540,516.05,526.05,526.65,528.98,699296,369910443.5,15285,221803,31.72
MINDTREE,EQ,28-Jun-17,526.65,525,534,520.55,529.95,531.1,529.33,336692,178221369.5,7826,73242,21.75
MINDTREE,EQ,29-Jun-17,531.1,548.7,548.7,525.3,527,528.7,533.11,2877419,1533985314,37587,1395145,48.49
MINDTREE,EQ,30-Jun-17,528.7,529.1,532,523,530.9,529,527.44,470377,248097623.9,7901,245563,52.21
MINDTREE,EQ,03-Jul-17,529,530.9,534,525.1,529,529.05,528.71,823697,435494658.6,17213,486031,59.01
MINDTREE,EQ,04-Jul-17,529.05,535,535.95,529.05,535,534.4,532.27,912799,485857728.3,28323,597937,65.51
MINDTREE,EQ,05-Jul-17,534.4,535,545.7,535,543,541.8,540.49,1592847,860913064.2,32898,980114,61.53
MINDTREE,EQ,06-Jul-17,541.8,542,546.6,539.6,545.9,544.8,542.96,820255,445366595.1,13739,498293,60.75
MINDTREE,EQ,07-Jul-17,544.8,544.9,548.8,538.05,540.7,539.15,543.07,1034523,561821559.7,17271,693438,67.03
MINDTREE,EQ,10-Jul-17,539.15,539,539,518.9,529.1,529.65,530.06,81549,43225589.8,1502,47018,57.66
MINDTREE,EQ,11-Jul-17,529.65,530.5,531.5,523.4,524.5,524.7,527.49,499551,263505935.5,9874,250482,50.14
MINDTREE,EQ,12-Jul-17,524.7,523,525.9,513.15,514,514.3,518.34,609499,315924801.5,9131,367221,60.25
MINDTREE,EQ,13-Jul-17,514.3,516.85,520,510.1,513.95,513.75,515.39,429212,221209563.4,11816,203188,47.34
MINDTREE,EQ,14-Jul-17,513.75,513.75,518.8,510.55,514,514.95,514.91,692155,356397821.2,12260,394280,56.96
MINDTREE,EQ,17-Jul-17,514.95,515.9,520.35,512.15,514.25,514,517.04,819291,423604106.6,7607,495508,60.48
MINDTREE,EQ,18-Jul-17,514,516.9,516.9,506,507.15,508.4,510.12,462809,236088183.5,12582,157642,34.06
MINDTREE,EQ,19-Jul-17,508.4,511.75,520,505.25,506.05,506.65,511,1084370,554107922.7,15183,251332,23.18
MINDTREE,EQ,20-Jul-17,506.65,485,500,482.5,484.65,484.3,489.92,2193659,1074726917,33883,564402,25.73
MINDTREE,EQ,21-Jul-17,484.3,486.9,487.7,478.75,484.9,484.25,482.52,783117,377868220.4,14024,308124,39.35
MINDTREE,EQ,24-Jul-17,484.25,485,489.9,482.1,483.5,483.55,485.61,291492,141550963.4,11053,101811,34.93
MINDTREE,EQ,25-Jul-17,483.55,485.6,485.6,475,481.95,481.85,480.58,357817,171961482.9,12055,91149,25.47
MINDTREE,EQ,26-Jul-17,481.85,481.9,484.3,479.1,480,480.2,481.03,224292,107890090.7,5630,84660,37.75
MINDTREE,EQ,27-Jul-17,480.2,480.2,485.15,479,483.15,481.8,482.8,462695,223390930.3,12081,211090,45.62
MINDTREE,EQ,28-Jul-17,481.8,483.15,483.15,476.75,479,479.5,478.9,118353,56679006.05,3282,42691,36.07
MINDTREE,EQ,31-Jul-17,479.5,481.85,483.9,476.05,476.2,477.45,479.22,150644,72191931.1,3948,59542,39.52
MINDTREE,EQ,01-Aug-17,477.45,477.35,479.2,469.45,472.35,472.6,474.85,371419,176368459.9,13465,183546,49.42
MINDTREE,EQ,02-Aug-17,472.6,474,476.45,470,474,473.3,473.94,188148,89170151.1,9400,104624,55.61
MINDTREE,EQ,03-Aug-17,473.3,470.05,473.25,461.5,462.95,465.9,467.1,215576,100695910.1,8860,104754,48.59
MINDTREE,EQ,04-Aug-17,465.9,464.8,473.25,461.75,472.2,471.05,467.36,439102,205217474.7,7820,259684,59.14
MINDTREE,EQ,07-Aug-17,471.05,471,485.35,468.1,484,483.2,479.88,357082,171355877.1,7136,201284,56.37
MINDTREE,EQ,08-Aug-17,483.2,482,483.35,468.9,471.5,473.65,474.53,275869,130907105.2,6067,75851,27.5
MINDTREE,EQ,09-Aug-17,473.65,474.6,474.6,461.25,462,464.35,469.65,140954,66199261.05,6148,46116,32.72
MINDTREE,EQ,10-Aug-17,464.35,461.7,465.65,442.45,453.95,451.3,456.27,220211,100476761.4,6685,70490,32.01
MINDTREE,EQ,11-Aug-17,451.3,450,461.2,440.6,455.05,457.15,454.54,238168,108257618.2,6132,85229,35.79
MINDTREE,EQ,14-Aug-17,457.15,459,469,459,465.2,467.25,463.68,160503,74421797.1,5427,71505,44.55
MINDTREE,EQ,16-Aug-17,467.25,469.1,470,461.5,468.05,468,464.89,123268,57306655.3,3741,46484,37.71
MINDTREE,EQ,17-Aug-17,468,468.1,480,468.05,475.55,475.7,475.66,222738,105947662.2,4825,45223,20.3
